1.1.1,540
1.1.2,40
1.1.3,20
1.1.4,20
1.1.5,20
1.1.6,20
1.2.1,200
1.2.2,100
1.2.3,40
1.2.4,10
1.2.5,15
1.2.6,400
1.2.7,40
1.2.8,20
1.2.9,100
1.2.10.1,500
1.2.10.2,500
1.2.11.1,500
1.2.11.2,500
1.2.11.3,500
1.2.11.4,500
1.2.12.1,500
1.2.12.2,500
1.2.12.3,500
1.2.12,1000
1.3.1,20
1.3.2,40
1.3.3,40
1.4.1,20
1.4.2,40
1.4.3,40
1.5.1,20
1.5.2,40
1.5.3,40
1.5.4,40
1.5.5,40
1.5.6,40
1.6.1,20
1.6.2,40
1.6.3,40
1.6.4,40
1.7.1,20
1.8.1,20
1.9.1,20
1.10.1,20
2.1.1,20
2.1.2,40
2.1.3,40
2.1.4,40
2.2.1,20
2.2.2,40
2.2.3,40
2.2.4,40
3.1.1,200
3.1.2,400
3.1.3,150
3.1.4,200
3.1.5,50
3.1.6,70
3.1.7,300
3.1.8,200
3.1.9,140
3.1.10,240
3.1.11,80
3.1.12,140
3.2.1,40
3.2.2,40
3.2.3,40
3.2.4,40
